taxlevel	rankID	taxon	daughterlevels	total	A1_T1_3m	A1_T26_0m	A1_T26_3m	A1_T2_0m	A1_T2_3m	A1_T33_0m	A1_T33_3m	A1_T40_0m	A1_T40_3m	A1_T47_0m	A1_T47_3m	A1_T54_0m	A1_T54_3m	A1_T61_0m	A1_T61_3m	A2_T1_0m	A2_T1_3m	A2_T26_0m	A2_T26_3m	A2_T2_0m	A2_T2_3m	A2_T33_0m	A2_T33_3m	A2_T40_0m	A2_T40_3m	A2_T47_0m	A2_T47_3m	A2_T54_0m	A2_T54_3m	A2_T61_0m	A2_T61_3m	A3_T1_0m	A3_T1_3m	A3_T26_0m	A3_T26_3m	A3_T2_0m	A3_T2_3m	A3_T33_0m	A3_T33_3m	A3_T40_0m	A3_T40_3m	A3_T47_0m	A3_T47_3m	A3_T54_0m	A3_T54_3m	A3_T61_0m	A3_T61_3m	A4_T1_0m	A4_T1_3m	A4_T26_0m	A4_T26_3m	A4_T2_0m	A4_T2_3m	A4_T33_0m	A4_T33_3m	A4_T40_0m	A4_T40_3m	A4_T47_0m	A4_T47_3m	A4_T54_0m	A4_T54_3m	A4_T61_0m	A4_T61_3m	A5_T1_0m	A5_T1_3m	A5_T26_0m	A5_T26_3m	A5_T2_0m	A5_T2_3m	A5_T33_0m	A5_T33_3m	A5_T40_0m	A5_T40_3m	A5_T47_0m	A5_T47_3m	A5_T54_0m	A5_T54_3m	A5_T61_0m	A5_T61_3m	A6_T1_0m	A6_T1_3m	A6_T26_0m	A6_T26_3m	A6_T2_0m	A6_T2_3m	A6_T33_0m	A6_T33_3m	A6_T40_0m	A6_T40_3m	A6_T47_0m	A6_T47_3m	A6_T54_0m	A6_T54_3m	A6_T61_0m	A6_T61_3m	Negative
6	0.1.8.3.1.1.3	Chloroidium	0	112	8	0	3	4	0	0	0	0	2	0	2	0	1	0	1	0	0	0	4	0	2	0	0	0	3	0	2	0	2	0	2	0	2	0	0	0	6	0	0	0	1	0	7	0	0	0	5	0	0	0	0	1	1	0	0	0	0	0	0	0	8	0	6	9	1	0	3	1	0	0	1	0	0	0	0	0	5	0	2	0	5	0	1	2	2	0	1	0	2	0	3	0	1	0	0	0
6	0.1.8.3.1.1.4	Lobosphaera	0	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	1	1	0	0	0	0	1	0	0	0	7	0	0	1	3	0	2	1	0	0	3	0	0	0	0	0	2	0	1	0
4	0.1.8.3.2	Ctenocladales	1	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0	0	2	0	4	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.8.3.2.1	Ctenocladales_fa	1	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0	0	2	0	4	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.8.3.2.1.1	Leptosira	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0	0	2	0	4	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.8.3.3	Incertae_Sedis	1	144	3	0	0	1	0	0	0	0	1	0	2	0	2	0	2	0	1	0	0	0	1	0	0	0	6	0	3	0	3	0	1	0	4	0	0	0	0	0	3	0	0	0	0	0	2	0	2	2	4	1	0	3	23	0	1	0	2	0	1	1	4	0	4	8	0	0	3	1	0	0	0	1	0	0	1	0	7	0	3	3	8	0	0	6	1	0	1	0	3	0	1	0	10	0	4	0
5	0.1.8.3.3.1	Incertae_Sedis_fa	2	144	3	0	0	1	0	0	0	0	1	0	2	0	2	0	2	0	1	0	0	0	1	0	0	0	6	0	3	0	3	0	1	0	4	0	0	0	0	0	3	0	0	0	0	0	2	0	2	2	4	1	0	3	23	0	1	0	2	0	1	1	4	0	4	8	0	0	3	1	0	0	0	1	0	0	1	0	7	0	3	3	8	0	0	6	1	0	1	0	3	0	1	0	10	0	4	0
6	0.1.8.3.3.1.1	Coccomyxa	0	113	2	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	6	0	2	0	3	0	1	0	4	0	0	0	0	0	3	0	0	0	0	0	2	0	2	1	0	0	0	3	23	0	1	0	1	0	0	0	4	0	0	7	0	0	2	1	0	0	0	1	0	0	1	0	2	0	2	3	7	0	0	4	1	0	0	0	3	0	1	0	10	0	3	0
6	0.1.8.3.3.1.2	Muriella	0	31	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	1	0	1	1	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	5	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0
4	0.1.8.3.4	Microthamniales	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.8.3.4.1	Microthamniales_fa	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.8.3.4.1.1	Asterochloris	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.8.3.4.1.2	Elliptochloris	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.8.3.4.1.3	Trochisciopsis	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.8.3.5	Prasiolales	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.8.3.5.1	Prasiolales_fa	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.8.3.5.1.1	Stichococcus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.8.3.6	Trebouxiophyceae_unclassified	1	426	1	0	3	9	7	0	0	0	1	0	3	0	4	0	0	0	3	0	3	0	3	0	3	0	7	0	9	0	10	0	0	2	14	3	1	4	17	2	7	0	0	0	1	0	4	0	10	2	4	0	4	3	6	1	6	0	6	0	21	0	8	0	6	22	7	18	5	11	8	3	0	3	16	2	5	0	20	0	3	18	16	2	3	12	1	5	11	1	3	0	0	0	26	1	6	0
5	0.1.8.3.6.1	Trebouxiophyceae_unclassified	1	426	1	0	3	9	7	0	0	0	1	0	3	0	4	0	0	0	3	0	3	0	3	0	3	0	7	0	9	0	10	0	0	2	14	3	1	4	17	2	7	0	0	0	1	0	4	0	10	2	4	0	4	3	6	1	6	0	6	0	21	0	8	0	6	22	7	18	5	11	8	3	0	3	16	2	5	0	20	0	3	18	16	2	3	12	1	5	11	1	3	0	0	0	26	1	6	0
6	0.1.8.3.6.1.1	Trebouxiophyceae_unclassified	0	426	1	0	3	9	7	0	0	0	1	0	3	0	4	0	0	0	3	0	3	0	3	0	3	0	7	0	9	0	10	0	0	2	14	3	1	4	17	2	7	0	0	0	1	0	4	0	10	2	4	0	4	3	6	1	6	0	6	0	21	0	8	0	6	22	7	18	5	11	8	3	0	3	16	2	5	0	20	0	3	18	16	2	3	12	1	5	11	1	3	0	0	0	26	1	6	0
3	0.1.8.4	Ulvophyceae	5	975	11	3	0	15	0	0	1	1	0	0	7	0	6	0	7	14	22	6	40	21	21	0	14	1	51	0	22	1	62	5	13	3	50	7	4	13	29	0	6	0	4	1	18	0	10	10	52	5	5	1	0	11	1	0	3	0	14	0	4	0	3	0	18	55	36	4	17	45	12	1	6	8	9	0	3	0	56	1	3	12	19	2	14	7	8	0	17	0	3	0	1	0	13	0	7	0
4	0.1.8.4.1	Scotinosphaerales	1	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	18	5	35	19	18	0	10	1	44	0	18	1	56	2	11	0	44	0	3	0	26	0	0	0	4	0	13	0	5	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.8.4.1.1	Scotinosphaerales_fa	1	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	18	5	35	19	18	0	10	1	44	0	18	1	56	2	11	0	44	0	3	0	26	0	0	0	4	0	13	0	5	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.8.4.1.1.1	Scotinosphaera	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	18	5	35	19	18	0	10	1	44	0	18	1	56	2	11	0	44	0	3	0	26	0	0	0	4	0	13	0	5	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.8.4.2	Trentepohliales	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
5	0.1.8.4.2.1	Trentepohliales_fa	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
6	0.1.8.4.2.1.1	Trentepohliales_fa_unclassified	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
4	0.1.8.4.3	Ulotrichales	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.8.4.3.1	Ulotrichales_fa	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.8.4.3.1.1	Hazenia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.8.4.3.1.2	Ulotrichales_fa_unclassified	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.8.4.4	Ulvophyceae_or	1	568	11	3	0	15	0	0	1	1	0	0	7	0	6	0	7	1	4	1	5	2	2	0	4	0	7	0	1	0	6	3	2	2	4	7	1	13	3	0	6	0	0	1	2	0	5	8	11	5	5	1	0	10	1	0	3	0	13	0	4	0	3	0	18	54	36	4	17	45	11	1	6	8	9	0	3	0	56	1	3	12	19	2	14	5	8	0	15	0	3	0	1	0	13	0	7	0
5	0.1.8.4.4.1	Ulvophyceae_fa	1	568	11	3	0	15	0	0	1	1	0	0	7	0	6	0	7	1	4	1	5	2	2	0	4	0	7	0	1	0	6	3	2	2	4	7	1	13	3	0	6	0	0	1	2	0	5	8	11	5	5	1	0	10	1	0	3	0	13	0	4	0	3	0	18	54	36	4	17	45	11	1	6	8	9	0	3	0	56	1	3	12	19	2	14	5	8	0	15	0	3	0	1	0	13	0	7	0
6	0.1.8.4.4.1.1	Ulvophyceae_ge	0	568	11	3	0	15	0	0	1	1	0	0	7	0	6	0	7	1	4	1	5	2	2	0	4	0	7	0	1	0	6	3	2	2	4	7	1	13	3	0	6	0	0	1	2	0	5	8	11	5	5	1	0	10	1	0	3	0	13	0	4	0	3	0	18	54	36	4	17	45	11	1	6	8	9	0	3	0	56	1	3	12	19	2	14	5	8	0	15	0	3	0	1	0	13	0	7	0
4	0.1.8.4.5	Ulvophyceae_unclassified	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.8.4.5.1	Ulvophyceae_unclassified	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.8.4.5.1.1	Ulvophyceae_unclassified	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.1.9	Choanoflagellida	1	51	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	1	0	2	0	0	0	0	0	6	3	1	0	0	0	0	0	0	0	1	0	0	0	15	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0
3	0.1.9.1	Craspedida	2	51	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	1	0	2	0	0	0	0	0	6	3	1	0	0	0	0	0	0	0	1	0	0	0	15	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0
4	0.1.9.1.1	Codonosigidae	1	35	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
5	0.1.9.1.1.1	Codonosigidae_fa	1	35	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
6	0.1.9.1.1.1.1	Monosiga	0	35	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
4	0.1.9.1.2	Craspedida_unclassified	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
5	0.1.9.1.2.1	Craspedida_unclassified	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
6	0.1.9.1.2.1.1	Craspedida_unclassified	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2	0.1.10	Chytridiomycota	1	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
3	0.1.10.1	Incertae_Sedis	7	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
4	0.1.10.1.1	Chytridiales	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.10.1.1.1	Chytriomycetaceae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.10.1.1.1.1	Chytriomycetaceae_unclassified	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.10.1.2	Cladochytriales	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.10.1.2.1	Nowakowskiellaceae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.10.1.2.1.1	Nowakowskiella	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.10.1.3	Incertae_Sedis_unclassified	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	0.1.10.1.3.1	Incertae_Sedis_unclassified	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
6	0.1.10.1.3.1.1	Incertae_Sedis_unclassified	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4	0.1.10.1.4	Lobulomycetales	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.10.1.4.1	Lobulomycetaceae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.10.1.4.1.1	Lobulomyces	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
