taxlevel	rankID	taxon	daughterlevels	total	A1_T1_3m	A1_T26_0m	A1_T26_3m	A1_T2_0m	A1_T2_3m	A1_T33_0m	A1_T33_3m	A1_T40_0m	A1_T40_3m	A1_T47_0m	A1_T47_3m	A1_T54_0m	A1_T54_3m	A1_T61_0m	A1_T61_3m	A2_T1_0m	A2_T1_3m	A2_T26_0m	A2_T26_3m	A2_T2_0m	A2_T2_3m	A2_T33_0m	A2_T33_3m	A2_T40_0m	A2_T40_3m	A2_T47_0m	A2_T47_3m	A2_T54_0m	A2_T54_3m	A2_T61_0m	A2_T61_3m	A3_T1_0m	A3_T1_3m	A3_T26_0m	A3_T26_3m	A3_T2_0m	A3_T2_3m	A3_T33_0m	A3_T33_3m	A3_T40_0m	A3_T40_3m	A3_T47_0m	A3_T47_3m	A3_T54_0m	A3_T54_3m	A3_T61_0m	A3_T61_3m	A4_T1_0m	A4_T1_3m	A4_T26_0m	A4_T26_3m	A4_T2_0m	A4_T2_3m	A4_T33_0m	A4_T33_3m	A4_T40_0m	A4_T40_3m	A4_T47_0m	A4_T47_3m	A4_T54_0m	A4_T54_3m	A4_T61_0m	A4_T61_3m	A5_T1_0m	A5_T1_3m	A5_T26_0m	A5_T26_3m	A5_T2_0m	A5_T2_3m	A5_T33_0m	A5_T33_3m	A5_T40_0m	A5_T40_3m	A5_T47_0m	A5_T47_3m	A5_T54_0m	A5_T54_3m	A5_T61_0m	A5_T61_3m	A6_T1_0m	A6_T1_3m	A6_T26_0m	A6_T26_3m	A6_T2_0m	A6_T2_3m	A6_T33_0m	A6_T33_3m	A6_T40_0m	A6_T40_3m	A6_T47_0m	A6_T47_3m	A6_T54_0m	A6_T54_3m	A6_T61_0m	A6_T61_3m	Negative
4	0.1.2.2.1	Coccidia	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.2.1.1	Eimeriorina	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.2.1.1.1	Caryospora	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.2.1.1.2	Eimeria	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.2.1.1.3	Eimeriorina_unclassified	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.2.2.2	Conoidasida_unclassified	1	97	16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	2	0	1	0	0	1	3	1	5	0	0	6	2	4	0	0	0	1	0	0	1	0	3	3	4	0	0	0	2	0	0	0	0	4	1	2	0	0	0	1	1	0	0	3	3	0	1	0	0	0	0	1	0	0	3	0	3	0	8	0	0	0	3	0
5	0.1.2.2.2.1	Conoidasida_unclassified	1	97	16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	2	0	1	0	0	1	3	1	5	0	0	6	2	4	0	0	0	1	0	0	1	0	3	3	4	0	0	0	2	0	0	0	0	4	1	2	0	0	0	1	1	0	0	3	3	0	1	0	0	0	0	1	0	0	3	0	3	0	8	0	0	0	3	0
6	0.1.2.2.2.1.1	Conoidasida_unclassified	0	97	16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	2	0	1	0	0	1	3	1	5	0	0	6	2	4	0	0	0	1	0	0	1	0	3	3	4	0	0	0	2	0	0	0	0	4	1	2	0	0	0	1	1	0	0	3	3	0	1	0	0	0	0	1	0	0	3	0	3	0	8	0	0	0	3	0
4	0.1.2.2.3	Gregarinasina	1	153441	453	744	239	528	1510	38	329	2454	1083	31	873	75	618	38	483	183	598	99	1023	1533	1648	1587	5585	139	4468	108	6441	793	2762	240	1025	878	3198	1933	987	1175	2246	1761	2461	1965	1478	435	707	14786	2019	4291	1039	1539	633	3307	276	1162	3733	1458	4642	1615	718	11	69	542	1553	288	1393	3012	1488	4089	267	3971	8508	346	591	810	927	162	3477	1508	3789	1323	1003	412	855	0	431	1297	3695	3032	1968	152	690	47	229	83	954	1144	1154	1
5	0.1.2.2.3.1	Neogregarinorida	1	153441	453	744	239	528	1510	38	329	2454	1083	31	873	75	618	38	483	183	598	99	1023	1533	1648	1587	5585	139	4468	108	6441	793	2762	240	1025	878	3198	1933	987	1175	2246	1761	2461	1965	1478	435	707	14786	2019	4291	1039	1539	633	3307	276	1162	3733	1458	4642	1615	718	11	69	542	1553	288	1393	3012	1488	4089	267	3971	8508	346	591	810	927	162	3477	1508	3789	1323	1003	412	855	0	431	1297	3695	3032	1968	152	690	47	229	83	954	1144	1154	1
