"sampleName","taxon","distance","degdays","counts","fracBySample"
"A1_T2_3m","Leptosphaeriaceae","3m",57,1,0.000287273771904625
"A1_T2_3m","Monhysterida_fa","3m",57,80,0.02298190175237
"A1_T2_3m","Mortierellaceae","3m",57,9,0.00258546394714163
"A1_T2_3m","Neogregarinorida","3m",57,1510,0.433783395575984
"A1_T2_3m","Ochromonadales_fa","3m",57,3,0.000861821315713875
"A1_T2_3m","Ochrophyta_unclassified","3m",57,20,0.0057454754380925
"A1_T2_3m","Oligohymenophorea","3m",57,3,0.000861821315713875
"A1_T2_3m","Peronosporomycetes_fa","3m",57,310,0.0890548692904338
"A1_T2_3m","Pleosporales_unclassified","3m",57,20,0.0057454754380925
"A1_T2_3m","Poales_fa","3m",57,21,0.00603274920999713
"A1_T2_3m","Rare","3m",57,101,0.0290146509623671
"A1_T2_3m","Rhizaspididae","3m",57,20,0.0057454754380925
"A1_T2_3m","Sphaeropleales_fa","3m",57,4,0.0011490950876185
"A1_T2_3m","Trichosporonaceae","3m",57,0,0
"A1_T2_3m","Ustilaginaceae","3m",57,0,0
"A1_T26_0m","Acari_fa","0m",734,0,0
"A1_T26_0m","Araeolaimida_fa","0m",734,5,0.000598157674362962
"A1_T26_0m","Ascaridida_fa","0m",734,437,0.0522789807393229
"A1_T26_0m","Ascomycota_unclassified","0m",734,1164,0.139251106591698
"A1_T26_0m","Aspergillaceae","0m",734,11,0.00131594688359852
"A1_T26_0m","Ceratobasidiaceae","0m",734,0,0
"A1_T26_0m","Cercomonadidae_fa","0m",734,4,0.00047852613949037
"A1_T26_0m","Chromadorea_unclassified","0m",734,32,0.00382820911592296
"A1_T26_0m","Chromulinales_fa","0m",734,178,0.0212944132073214
"A1_T26_0m","Coleoptera_fa","0m",734,6,0.000717789209235554
"A1_T26_0m","Collembola_fa","0m",734,78,0.00933125972006221
"A1_T26_0m","Debaryomycetaceae","0m",734,9,0.00107668381385333
"A1_T26_0m","Didymellaceae","0m",734,0,0
"A1_T26_0m","Dipodascaceae","0m",734,1725,0.206364397655222
"A1_T26_0m","Diptera_fa","0m",734,4,0.00047852613949037
"A1_T26_0m","Dorylaimida_fa","0m",734,0,0
"A1_T26_0m","Echinamoebida_fa","0m",734,0,0
"A1_T26_0m","Eukaryota_unclassified","0m",734,495,0.0592176097619332
"A1_T26_0m","Eustigmatales_fa","0m",734,2,0.000239263069745185
"A1_T26_0m","Haplotaxida_fa","0m",734,0,0
"A1_T26_0m","Haptoria","0m",734,69,0.00825457590620888
"A1_T26_0m","Herpotrichiellaceae","0m",734,0,0
"A1_T26_0m","Hypotrichia","0m",734,0,0
"A1_T26_0m","Insecta_unclassified","0m",734,0,0
"A1_T26_0m","Leptosphaeriaceae","0m",734,0,0
"A1_T26_0m","Mammalia_fa","0m",734,0,0
"A1_T26_0m","Monhysterida_fa","0m",734,0,0
"A1_T26_0m","Mortierellaceae","0m",734,3,0.000358894604617777
"A1_T26_0m","Mucoraceae","0m",734,590,0.0705826055748295
"A1_T26_0m","Neogregarinorida","0m",734,744,0.0890058619452088
"A1_T26_0m","Ochrophyta_unclassified","0m",734,13,0.0015552099533437
"A1_T26_0m","Opiliones_fa","0m",734,5,0.000598157674362962
"A1_T26_0m","Peronosporomycetes_fa","0m",734,80,0.00957052278980739
"A1_T26_0m","Piptocephalidaceae","0m",734,8,0.000957052278980739
"A1_T26_0m","Pleosporales_unclassified","0m",734,0,0
"A1_T26_0m","Poales_fa","0m",734,0,0
"A1_T26_0m","Rare","0m",734,151,0.0180643617657615
"A1_T26_0m","Rhabditida_fa","0m",734,0,0
"A1_T26_0m","Rhizaspididae","0m",734,29,0.00346931451130518
"A1_T26_0m","Sphaeropleales_fa","0m",734,3,0.000358894604617777
"A1_T26_0m","Trichosporonaceae","0m",734,2514,0.300753678669697
"A1_T26_0m","Ustilaginaceae","0m",734,0,0
"A1_T26_3m","Acari_fa","3m",734,8,0.00173385348938015
"A1_T26_3m","Agaricomycetes_unclassified","3m",734,45,0.00975292587776333
"A1_T26_3m","Araeolaimida_fa","3m",734,484,0.104898136107499
"A1_T26_3m","Ascaridida_fa","3m",734,317,0.0687039445166883
"A1_T26_3m","Asterales_fa","3m",734,0,0
"A1_T26_3m","Bacillariophyceae","3m",734,1,0.000216731686172518
"A1_T26_3m","Ceratobasidiaceae","3m",734,0,0
"A1_T26_3m","Chromadorea_unclassified","3m",734,348,0.0754226267880364
"A1_T26_3m","Chromulinales_fa","3m",734,176,0.0381447767663632
"A1_T26_3m","Cladosporiaceae","3m",734,20,0.00433463372345037
"A1_T26_3m","Coleoptera_fa","3m",734,6,0.00130039011703511
"A1_T26_3m","Collembola_fa","3m",734,45,0.00975292587776333
"A1_T26_3m","Conthreep_unclassified","3m",734,69,0.0149544863459038
"A1_T26_3m","Didymellaceae","3m",734,52,0.011270047680971
"A1_T26_3m","Diptera_fa","3m",734,59,0.0127871694841786
"A1_T26_3m","Dorylaimida_fa","3m",734,28,0.00606848721283052
"A1_T26_3m","Dothideomycetes_unclassified","3m",734,3,0.000650195058517555
"A1_T26_3m","Eukaryota_unclassified","3m",734,110,0.023840485478977
"A1_T26_3m","Eustigmatales_fa","3m",734,8,0.00173385348938015
"A1_T26_3m","Haplotaxida_fa","3m",734,10,0.00216731686172518
"A1_T26_3m","Haptoria","3m",734,52,0.011270047680971
"A1_T26_3m","Helotiaceae","3m",734,0,0
"A1_T26_3m","Herpotrichiellaceae","3m",734,53,0.0114867793671435
"A1_T26_3m","Hymenoptera_fa","3m",734,0,0
"A1_T26_3m","Hypotrichia","3m",734,178,0.0385782401387083
"A1_T26_3m","Incertae_Sedis","3m",734,61,0.0132206328565236
"A1_T26_3m","Insecta_unclassified","3m",734,3,0.000650195058517555
"A1_T26_3m","Leptosphaeriaceae","3m",734,0,0
"A1_T26_3m","Monhysterida_fa","3m",734,60,0.0130039011703511
"A1_T26_3m","Mortierellaceae","3m",734,113,0.0244906805374946
"A1_T26_3m","Neogregarinorida","3m",734,239,0.0517988729952319
"A1_T26_3m","Ochromonadales_fa","3m",734,12,0.00260078023407022
"A1_T26_3m","Ochrophyta_unclassified","3m",734,2,0.000433463372345037
"A1_T26_3m","Oligohymenophorea","3m",734,8,0.00173385348938015
"A1_T26_3m","Peronosporomycetes_fa","3m",734,110,0.023840485478977
"A1_T26_3m","Pleosporales_unclassified","3m",734,1414,0.306458604247941
"A1_T26_3m","Poales_fa","3m",734,23,0.00498482878196792
"A1_T26_3m","Rare","3m",734,280,0.0606848721283052
"A1_T26_3m","Rhizaspididae","3m",734,84,0.0182054616384915
"A1_T26_3m","Sphaeropleales_fa","3m",734,9,0.00195058517555267
"A1_T26_3m","Trichosporonaceae","3m",734,47,0.0101863892501084
"A1_T26_3m","Ustilaginaceae","3m",734,77,0.0166883398352839
"A1_T33_0m","Acari_fa","0m",930,0,0
"A1_T33_0m","Araeolaimida_fa","0m",930,0,0
"A1_T33_0m","Ascaridida_fa","0m",930,2,0.000170488449407553
"A1_T33_0m","Ascomycota_unclassified","0m",930,1625,0.138521865143637
"A1_T33_0m","Aspergillaceae","0m",930,31,0.00264257096581707
"A1_T33_0m","Ceratobasidiaceae","0m",930,0,0
"A1_T33_0m","Cercomonadidae_fa","0m",930,0,0
"A1_T33_0m","Chromadorea_unclassified","0m",930,2,0.000170488449407553
"A1_T33_0m","Chromulinales_fa","0m",930,14,0.00119341914585287
"A1_T33_0m","Coleoptera_fa","0m",930,1,8.52442247037763e-05
"A1_T33_0m","Collembola_fa","0m",930,0,0
"A1_T33_0m","Debaryomycetaceae","0m",930,94,0.00801295712215497
"A1_T33_0m","Didymellaceae","0m",930,3,0.000255732674111329
"A1_T33_0m","Dipodascaceae","0m",930,3746,0.319324865740346
"A1_T33_0m","Diptera_fa","0m",930,0,0
"A1_T33_0m","Dorylaimida_fa","0m",930,0,0
"A1_T33_0m","Echinamoebida_fa","0m",930,10,0.000852442247037763
"A1_T33_0m","Eukaryota_unclassified","0m",930,118,0.0100588185150456
"A1_T33_0m","Eustigmatales_fa","0m",930,0,0
"A1_T33_0m","Haplotaxida_fa","0m",930,0,0
"A1_T33_0m","Haptoria","0m",930,6,0.000511465348222658
"A1_T33_0m","Herpotrichiellaceae","0m",930,0,0
"A1_T33_0m","Hypotrichia","0m",930,0,0
